date,open,high,low,close,volume
2025-05-01,40,40.5,39.8,40.2,1500000
2025-05-02,40.2,40.6,40.0,40.4,1400000
2025-05-05,40.4,40.9,40.3,40.8,1600000
2025-05-06,40.8,41.2,40.7,41.0,1700000
2025-05-07,41.0,41.4,40.9,41.2,1650000
2025-05-08,41.2,41.6,41.0,41.4,1550000
2025-05-09,41.4,41.8,41.2,41.6,1580000
2025-05-12,41.6,42.0,41.5,41.9,1590000
2025-05-13,41.9,42.2,41.8,42.0,1600000
2025-05-14,42.0,42.3,41.9,42.1,1500000
2025-05-15,42.1,42.4,42.0,42.2,1490000
2025-05-16,42.2,42.5,42.1,42.3,1480000
2025-05-19,42.3,42.6,42.2,42.4,1470000
2025-05-20,42.4,42.7,42.3,42.5,1460000
2025-05-21,42.5,42.8,42.4,42.6,1450000
2025-05-22,42.6,42.9,42.5,42.7,1440000
2025-05-23,42.7,43.0,42.6,42.8,1430000
2025-05-26,42.8,43.1,42.7,42.9,1420000
2025-05-27,42.9,43.2,42.8,43.0,1410000
2025-05-28,43.0,43.3,42.9,43.1,1400000
2025-05-29,43.1,43.4,43.0,43.2,1390000
2025-05-30,43.2,43.5,43.1,43.3,1380000
2025-06-02,43.3,43.6,43.2,43.4,1370000
2025-06-03,43.4,43.7,43.3,43.5,1360000
2025-06-04,43.5,43.8,43.4,43.6,1350000
2025-06-05,43.6,43.9,43.5,43.7,1340000
2025-06-06,43.7,44.0,43.6,43.8,1330000
2025-06-09,43.8,44.1,43.7,43.9,1320000
2025-06-10,43.9,44.2,43.8,44.0,1310000
2025-06-11,44.0,44.3,43.9,44.1,1300000
